ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,EDUCATION_TYPE,TOTAL_CONTACTS,HAS_CAR,HAS_PROPERTY,INCOME_BAND,INCOME_PER_PERSON,CHILD_RATIO
5008826,F,Y,N,0.0,Married,House / apartment,0,0,0,2.0,30,29.0,3.0,0,130500.0,Working,Incomplete higher,0.0,1,0,Lower_Middle,65250.0,0.0
5008830,F,N,Y,0.0,Married,House / apartment,0,1,0,2.0,31,27.0,4.0,0,157500.0,Working,Secondary / secondary special,1.0,0,1,Lower_Middle,78750.0,0.0
5008831,F,N,Y,0.0,Married,House / apartment,0,1,0,2.0,19,27.0,4.0,0,157500.0,Working,Secondary / secondary special,1.0,0,1,Lower_Middle,78750.0,0.0
5008832,F,N,Y,0.0,Married,House / apartment,0,1,0,2.0,34,27.0,4.0,0,157500.0,Working,Secondary / secondary special,1.0,0,1,Lower_Middle,78750.0,0.0
5008836,M,Y,Y,2.5,Married,House / apartment,0,0,0,4.5,24,35.0,3.0,0,270000.0,Working,Secondary / secondary special,0.0,1,1,Middle,54000.0,0.6
5008837,M,Y,Y,2.5,Married,House / apartment,0,0,0,4.5,18,35.0,3.0,0,270000.0,Working,Secondary / secondary special,0.0,1,1,Middle,54000.0,0.6
5008838,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,39,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008839,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,13,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008840,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,55,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008841,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,4,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008842,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,8,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008843,M,N,Y,1.0,Married,House / apartment,0,0,0,3.0,29,32.0,6.0,0,360000.0,Commercial associate,Higher education,0.0,0,1,Upper_Middle,135000.0,0.3333333333333333
5008844,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,43,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008846,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,11,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008847,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,46,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008849,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,51,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008850,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,25,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008851,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,11,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008852,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,0,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008853,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,39,56.0,12.0,0,112500.0,Commercial associate,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008854,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,39,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008855,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,28,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008856,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,3,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008857,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,27,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008858,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,10,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008859,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,4,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008860,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,3,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008861,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,3,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008862,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,2,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008863,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,2,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008864,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,2,43.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008865,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,8,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008866,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,19,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008867,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,25,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5112846,F,Y,Y,2.0,Married,House / apartment,0,0,0,4.0,18,43.0,9.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,33750.0,0.5
5008868,F,N,Y,1.0,Civil marriage,House / apartment,0,0,0,3.0,24,44.0,19.0,0,211500.0,State servant,Secondary / secondary special,0.0,0,1,Middle,70500.0,0.3333333333333333
5008870,F,N,Y,1.0,Civil marriage,House / apartment,0,0,0,3.0,20,44.0,19.0,0,211500.0,State servant,Secondary / secondary special,0.0,0,1,Middle,70500.0,0.3333333333333333
5008872,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,10,46.0,15.0,0,360000.0,Commercial associate,Secondary / secondary special,1.0,1,1,Upper_Middle,180000.0,0.0
5008873,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,21,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008874,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,45,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008875,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,39,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008876,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,43,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008877,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,7,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008878,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,43,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008879,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,21,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008880,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,10,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008881,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,19,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008882,F,N,Y,2.0,Married,House / apartment,0,0,0,4.0,45,34.0,5.0,0,126000.0,Commercial associate,Higher education,1.0,0,1,Lower_Middle,31500.0,0.5
5008888,F,N,Y,0.0,Separated,Rented apartment,0,0,0,1.0,11,47.0,4.0,0,247500.0,Commercial associate,Higher education,0.0,0,1,Middle,234000.0,0.0
5008889,F,N,Y,0.0,Separated,Rented apartment,0,0,0,1.0,4,47.0,4.0,0,247500.0,Commercial associate,Higher education,0.0,0,1,Middle,234000.0,0.0
5008890,F,N,Y,0.0,Separated,Rented apartment,0,0,0,1.0,48,47.0,4.0,0,247500.0,Commercial associate,Higher education,0.0,0,1,Middle,234000.0,0.0
5112847,F,N,Y,0.0,Separated,Rented apartment,0,0,0,1.0,25,47.0,4.0,0,247500.0,Commercial associate,Higher education,0.0,0,1,Middle,234000.0,0.0
5008891,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,7,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008892,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,37,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008893,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,36,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008894,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,36,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008895,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,34,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008896,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,34,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008897,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,32,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008898,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,31,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008899,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,30,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008900,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,29,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008901,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,27,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008902,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,27,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008903,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,27,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008904,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,26,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008905,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,25,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008906,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,24,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008907,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,23,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008908,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,22,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008909,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,22,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008910,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,21,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008911,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,21,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008912,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,20,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008913,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,19,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008914,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,18,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008915,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,18,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008916,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,17,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008917,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,17,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008918,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,16,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008919,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,15,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008920,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,15,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008921,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,13,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008922,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,13,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008923,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,12,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008924,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,12,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008925,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,12,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008926,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,11,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008927,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,9,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008928,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,9,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008929,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,7,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008930,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,6,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008931,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,5,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008932,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,5,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008933,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,5,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008934,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,4,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008935,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,4,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008936,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,3,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008937,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,1,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008938,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,1,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008939,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,0,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008940,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,1,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008941,F,N,Y,0.0,Single / not married,Rented apartment,0,0,0,1.0,7,43.0,9.0,0,297000.0,Commercial associate,Secondary / secondary special,0.0,0,1,Middle,234000.0,0.0
5008942,F,N,N,0.0,Married,House / apartment,0,1,0,2.0,43,37.0,13.0,0,157500.0,Commercial associate,Higher education,1.0,0,0,Lower_Middle,78750.0,0.0
5008943,F,N,N,0.0,Married,House / apartment,0,1,0,2.0,14,37.0,13.0,0,157500.0,Commercial associate,Higher education,1.0,0,0,Lower_Middle,78750.0,0.0
5008944,F,N,N,0.0,Married,House / apartment,0,1,0,2.0,23,37.0,13.0,0,157500.0,Commercial associate,Higher education,1.0,0,0,Lower_Middle,78750.0,0.0
5008945,F,N,N,0.0,Married,House / apartment,0,1,0,2.0,30,37.0,13.0,0,157500.0,Commercial associate,Higher education,1.0,0,0,Lower_Middle,78750.0,0.0
5008946,F,N,N,0.0,Married,House / apartment,0,1,0,2.0,48,37.0,13.0,0,157500.0,Commercial associate,Higher education,1.0,0,0,Lower_Middle,78750.0,0.0
5008947,M,N,Y,0.0,Married,House / apartment,1,1,0,2.0,12,42.0,4.0,0,135000.0,Working,Secondary / secondary special,2.0,0,1,Lower_Middle,67500.0,0.0
5008948,M,N,Y,0.0,Married,House / apartment,1,1,0,2.0,17,42.0,4.0,0,135000.0,Working,Secondary / secondary special,2.0,0,1,Lower_Middle,67500.0,0.0
5008949,M,N,Y,0.0,Married,House / apartment,1,1,0,2.0,0,42.0,4.0,0,135000.0,Working,Secondary / secondary special,2.0,0,1,Lower_Middle,67500.0,0.0
5008950,M,N,Y,0.0,Married,House / apartment,1,1,0,2.0,12,42.0,4.0,0,135000.0,Working,Secondary / secondary special,2.0,0,1,Lower_Middle,67500.0,0.0
5008955,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,4,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008956,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,39,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008957,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,51,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008958,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,3,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008959,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,15,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008960,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,28,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008962,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,26,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008963,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,38,49.0,5.0,0,135000.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008981,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,10,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008983,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,58,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008984,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,58,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008986,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,10,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008987,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,10,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008988,M,Y,Y,0.0,Married,House / apartment,0,1,0,2.0,16,57.0,7.0,0,112500.0,State servant,Secondary / secondary special,1.0,1,1,Lower_Middle,56250.0,0.0
5008991,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,30,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5008992,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,6,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5008993,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,17,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5008994,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,19,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5008995,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,28,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5112861,F,Y,Y,0.0,Separated,House / apartment,1,1,0,1.0,21,45.0,3.0,0,270000.0,Working,Secondary / secondary special,2.0,1,1,Middle,234000.0,0.0
5008998,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,4,29.0,2.0,0,270000.0,Working,Higher education,1.0,1,1,Middle,135000.0,0.0
5008999,F,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,24,29.0,2.0,0,270000.0,Working,Higher education,1.0,1,1,Middle,135000.0,0.0
5009000,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,22,27.0,2.0,0,157500.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,78750.0,0.0
